product_id,title,price,description,category_id,category_name,category_image,images,creation_date,update_date,source,extracted_at
PLATZI_18,Sleek White & Orange Wireless Gaming Controller,69,"Elevate your gaming experience with this state-of-the-art wireless controller, featuring a crisp white base with vibrant orange accents. Designed for precision play, the ergonomic shape and responsive buttons provide maximum comfort and control for endless hours of gameplay. Compatible with multiple gaming platforms, this controller is a must-have for any serious gamer looking to enhance their setup.",2,Electronics,https://i.imgur.com/ZANVnHE.jpeg,"[""https://i.imgur.com/ZANVnHE.jpeg"", ""https://i.imgur.com/Ro5z6Tn.jpeg"", ""https://i.imgur.com/woA93Li.jpeg""]",2025-10-01T14:51:25.000Z,2025-10-01T14:51:25.000Z,Platzi_Fake_Store,2025-10-01T21:55:24.311083
PLATZI_19,Sleek Wireless Headphone & Inked Earbud Set,44,"Experience the fusion of style and sound with this sophisticated audio set featuring a pair of sleek, white wireless headphones offering crystal-clear sound quality and over-ear comfort. The set also includes a set of durable earbuds, perfect for an on-the-go lifestyle. Elevate your music enjoyment with this versatile duo, designed to cater to all your listening needs.",2,Electronics,https://i.imgur.com/ZANVnHE.jpeg,"[""https://i.imgur.com/yVeIeDa.jpeg"", ""https://i.imgur.com/jByJ4ih.jpeg"", ""https://i.imgur.com/KXj6Tpb.jpeg""]",2025-10-01T14:51:25.000Z,2025-10-01T14:51:25.000Z,Platzi_Fake_Store,2025-10-01T21:55:24.311102
PLATZI_20,Sleek Comfort-Fit Over-Ear Headphones,28,"Experience superior sound quality with our Sleek Comfort-Fit Over-Ear Headphones, designed for prolonged use with cushioned ear cups and an adjustable, padded headband. Ideal for immersive listening, whether you're at home, in the office, or on the move. Their durable construction and timeless design provide both aesthetically pleasing looks and long-lasting performance.",2,Electronics,https://i.imgur.com/ZANVnHE.jpeg,"[""https://i.imgur.com/SolkFEB.jpeg"", ""https://i.imgur.com/KIGW49u.jpeg"", ""https://i.imgur.com/mWwek7p.jpeg""]",2025-10-01T14:51:25.000Z,2025-10-01T14:51:25.000Z,Platzi_Fake_Store,2025-10-01T21:55:24.311109
PLATZI_21,Efficient 2-Slice Toaster,48,"Enhance your morning routine with our sleek 2-slice toaster, featuring adjustable browning controls and a removable crumb tray for easy cleaning. This compact and stylish appliance is perfect for any kitchen, ensuring your toast is always golden brown and delicious.",2,Electronics,https://i.imgur.com/ZANVnHE.jpeg,"[""https://i.imgur.com/keVCVIa.jpeg"", ""https://i.imgur.com/afHY7v2.jpeg"", ""https://i.imgur.com/yAOihUe.jpeg""]",2025-10-01T14:51:25.000Z,2025-10-01T14:51:25.000Z,Platzi_Fake_Store,2025-10-01T21:55:24.311114
PLATZI_22,Sleek Wireless Computer Mouse,10,"Experience smooth and precise navigation with this modern wireless mouse, featuring a glossy finish and a comfortable ergonomic design. Its responsive tracking and easy-to-use interface make it the perfect accessory for any desktop or laptop setup. The stylish blue hue adds a splash of color to your workspace, while its compact size ensures it fits neatly in your bag for on-the-go productivity.",2,Electronics,https://i.imgur.com/ZANVnHE.jpeg,"[""https://i.imgur.com/w3Y8NwQ.jpeg"", ""https://i.imgur.com/WJFOGIC.jpeg"", ""https://i.imgur.com/dV4Nklf.jpeg""]",2025-10-01T14:51:25.000Z,2025-10-01T14:51:25.000Z,Platzi_Fake_Store,2025-10-01T21:55:24.311119
PLATZI_23,Sleek Modern Laptop with Ambient Lighting,43,"Experience next-level computing with our ultra-slim laptop, featuring a stunning display illuminated by ambient lighting. This high-performance machine is perfect for both work and play, delivering powerful processing in a sleek, portable design. The vibrant colors add a touch of personality to your tech collection, making it as stylish as it is functional.",2,Electronics,https://i.imgur.com/ZANVnHE.jpeg,"[""https://i.imgur.com/OKn1KFI.jpeg"", ""https://i.imgur.com/G4f21Ai.jpeg"", ""https://i.imgur.com/Z9oKRVJ.jpeg""]",2025-10-01T14:51:25.000Z,2025-10-01T14:51:25.000Z,Platzi_Fake_Store,2025-10-01T21:55:24.311124
PLATZI_24,Sleek Modern Laptop for Professionals,97,"Experience cutting-edge technology and elegant design with our latest laptop model. Perfect for professionals on-the-go, this high-performance laptop boasts a powerful processor, ample storage, and a long-lasting battery life, all encased in a lightweight, slim frame for ultimate portability. Shop now to elevate your work and play.",2,Electronics,https://i.imgur.com/ZANVnHE.jpeg,"[""https://i.imgur.com/ItHcq7o.jpeg"", ""https://i.imgur.com/55GM3XZ.jpeg"", ""https://i.imgur.com/tcNJxoW.jpeg""]",2025-10-01T14:51:25.000Z,2025-10-01T14:51:25.000Z,Platzi_Fake_Store,2025-10-01T21:55:24.311128
PLATZI_25,Stylish Red & Silver Over-Ear Headphones,39,"Immerse yourself in superior sound quality with these sleek red and silver over-ear headphones. Designed for comfort and style, the headphones feature cushioned ear cups, an adjustable padded headband, and a detachable red cable for easy storage and portability. Perfect for music lovers and audiophiles who value both appearance and audio fidelity.",2,Electronics,https://i.imgur.com/ZANVnHE.jpeg,"[""https://i.imgur.com/YaSqa06.jpeg"", ""https://i.imgur.com/isQAliJ.jpeg"", ""https://i.imgur.com/5B8UQfh.jpeg""]",2025-10-01T14:51:25.000Z,2025-10-01T14:51:25.000Z,Platzi_Fake_Store,2025-10-01T21:55:24.311131
PLATZI_26,Sleek Mirror Finish Phone Case,27,"Enhance your smartphone's look with this ultra-sleek mirror finish phone case. Designed to offer style with protection, the case features a reflective surface that adds a touch of elegance while keeping your device safe from scratches and impacts. Perfect for those who love a minimalist and modern aesthetic.",2,Electronics,https://i.imgur.com/ZANVnHE.jpeg,"[""https://i.imgur.com/yb9UQKL.jpeg"", ""https://i.imgur.com/m2owtQG.jpeg"", ""https://i.imgur.com/bNiORct.jpeg""]",2025-10-01T14:51:25.000Z,2025-10-01T14:51:25.000Z,Platzi_Fake_Store,2025-10-01T21:55:24.311135
PLATZI_27,Sleek Smartwatch with Vibrant Display,16,"Experience modern timekeeping with our high-tech smartwatch, featuring a vivid touch screen display, customizable watch faces, and a comfortable blue silicone strap. This smartwatch keeps you connected with notifications and fitness tracking while showcasing exceptional style and versatility.",2,Electronics,https://i.imgur.com/ZANVnHE.jpeg,"[""https://i.imgur.com/LGk9Jn2.jpeg"", ""https://i.imgur.com/1ttYWaI.jpeg"", ""https://i.imgur.com/sPRWnJH.jpeg""]",2025-10-01T14:51:25.000Z,2025-10-01T14:51:25.000Z,Platzi_Fake_Store,2025-10-01T21:55:24.311139
